epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
170,4754.14,0.66845,0.38923,0.8804,0.90756,0.5903,0.63065,0.44829,0.84879,0.43241,0.92296,0.000204313,0.000204313,0.000204313
171,4782.21,0.67188,0.39526,0.88601,0.89339,0.5945,0.62858,0.4489,0.84705,0.4266,0.91959,0.000198125,0.000198125,0.000198125
172,4810.71,0.66704,0.38799,0.88325,0.89591,0.58516,0.63212,0.45088,0.84248,0.42984,0.91928,0.000191938,0.000191938,0.000191938
173,4838.28,0.66832,0.39401,0.88624,0.90195,0.5958,0.63627,0.45535,0.84127,0.43176,0.91778,0.00018575,0.00018575,0.00018575
174,4865.9,0.67208,0.3903,0.88311,0.89351,0.60327,0.63638,0.4451,0.84679,0.42821,0.92311,0.000179563,0.000179563,0.000179563
175,4893.36,0.66097,0.38349,0.88211,0.88856,0.61031,0.64699,0.45657,0.84551,0.42843,0.9243,0.000173375,0.000173375,0.000173375
176,4921.05,0.66643,0.39042,0.88583,0.89161,0.59984,0.63861,0.45218,0.85093,0.42786,0.92863,0.000167188,0.000167188,0.000167188
177,4950.62,0.6608,0.38757,0.88579,0.90394,0.59581,0.64347,0.45523,0.84946,0.42911,0.92819,0.000161,0.000161,0.000161
178,4978.59,0.65481,0.3821,0.88437,0.90472,0.59243,0.63842,0.45443,0.84212,0.43081,0.92634,0.000154812,0.000154812,0.000154812
179,5006.34,0.65776,0.38606,0.88144,0.90324,0.59367,0.63957,0.45206,0.84613,0.43006,0.9259,0.000148625,0.000148625,0.000148625
